"variable","naive_coefs","lasso2_coefs","r2"
"POSTED_SPEED_LIMIT",-0.0249678710047139,-0.0171739451311952,0.30554331544876
"TRAFFIC_CONTROL_DEVICESTOP SIGN/FLASHER",-0.0237372039787552,0,0.999358359078556
"TRAFFIC_CONTROL_DEVICETRAFFIC SIGNAL",0.0313671820727297,0,0.998793160939992
"LIGHTING_CONDITIONDARKNESS, LIGHTED ROAD",-0.224150320437316,0,0.781712451443353
"LIGHTING_CONDITIONDAYLIGHT",0.0868734105289181,0,0.905167386868801
"LIGHTING_CONDITIONUNKNOWN",0.126749592800802,0,0.806523812389535
"FIRST_CRASH_TYPEFIXED OBJECT",-1.08343637323405,0,0.924488937451867
"FIRST_CRASH_TYPEHEAD ON",-0.545618964003738,-0.288428823283209,0.279301598887953
"FIRST_CRASH_TYPEOTHER NONCOLLISION",-1.05730670512945,0,0.882826442831972
"FIRST_CRASH_TYPEOTHER OBJECT",-0.698622212852034,0,0.83908468715107
"FIRST_CRASH_TYPEOVERTURNED",-2.0610386824231,0,0.885115482166172
"FIRST_CRASH_TYPEPARKED MOTOR VEHICLE",0.611464882567164,0.372331644801152,0.84842699327695
"FIRST_CRASH_TYPEPEDALCYCLIST",-2.21961208873413,-1.83621231003298,0.528501538524937
"FIRST_CRASH_TYPEPEDESTRIAN",-3.36511801922978,-3.10233703559542,0.569939909840638
"FIRST_CRASH_TYPEREAR END",0.26520439930716,0.295540450040738,0.813717071911011
"FIRST_CRASH_TYPEREAR TO FRONT",0.484000743578922,0.580286704381744,0.45173945054735
"FIRST_CRASH_TYPEREAR TO REAR",0.0373134758274774,0,0.253520878023975
"FIRST_CRASH_TYPEREAR TO SIDE",0.213151718642386,0.24013151362677,0.283002807637031
"FIRST_CRASH_TYPESIDESWIPE OPPOSITE DIRECTION",0.155601318782375,0.178654055109716,0.335723536316759
"FIRST_CRASH_TYPESIDESWIPE SAME DIRECTION",0.932558580818642,0.833336912540934,0.761787875465574
"FIRST_CRASH_TYPETURNING",0.160565537866909,0.224166188077083,0.634659067504342
"TRAFFICWAY_TYPEDIVIDED - W/MEDIAN (NOT RAISED)",-0.0442235011259676,-0.0086553989144286,0.939000616190549
"TRAFFICWAY_TYPEDIVIDED - W/MEDIAN BARRIER",-0.184568247121903,-0.132854286031639,0.923423146159554
"TRAFFICWAY_TYPEDRIVEWAY",0.534964023539809,0,0.3154531559093
"TRAFFICWAY_TYPEFOUR WAY",-0.060655112659076,0,0.96332298575055
"TRAFFICWAY_TYPEONE-WAY",0.155668573513394,0,0.916111525998178
"TRAFFICWAY_TYPEOTHER",0.178522757478516,0,0.747008829150388
"TRAFFICWAY_TYPEPARKING LOT",0.748842976818139,0,0.84213973238406
"TRAFFICWAY_TYPEUNKNOWN",0.0864722630112643,0,0.784026775384365
"LANE_CNTNARROW",0.00880659961593766,0,0.982486271075893
"ALIGNMENTCURVE, LEVEL",-0.0253833881480366,0,0.835183562415719
"ALIGNMENTSTRAIGHT AND LEVEL",0.198037781885059,0,0.9379059329545
"ROADWAY_SURFACE_CONDSNOW OR SLUSH",0.0992159591890176,0,0.700471566598306
"ROADWAY_SURFACE_CONDWET",-0.0236113606451918,0,0.676045888996966
"ROAD_DEFECTRUT, HOLES",-0.0401496065265189,0,0.913117170482711
"REPORT_TYPENOT ON SCENE (DESK REPORT)",1.76674916379451,0,0.998861788054221
"REPORT_TYPEON SCENE",-0.418247739562977,0,0.998838317283369
"INTERSECTION_RELATED_IY",-0.36561897822061,-0.328151618656881,0.412423513338086
"NOT_RIGHT_OF_WAY_IY",0.0606712029572004,0,0.281043295718628
"HIT_AND_RUN_IY",0.27183215188554,0.269869176581764,0.18772863317978
"DAMAGE$501 - $1,500",-0.150352994253034,-0.33522478160768,0.635693591173618
"DAMAGEOVER $1,500",-1.36024398710382,-1.47593306952221,0.639606090342589
"PRIM_CONTRIBUTORY_CAUSECELL PHONE USE OTHER THAN TEXTING",-0.186668587178845,0,0.812496376519385
"PRIM_CONTRIBUTORY_CAUSEDISREGARDING OTHER TRAFFIC SIGNS",-0.199840685968512,0,0.920866411405246
"PRIM_CONTRIBUTORY_CAUSEDISREGARDING STOP SIGN",-0.42442046860685,0,0.97012464717584
"PRIM_CONTRIBUTORY_CAUSEDISREGARDING TRAFFIC SIGNALS",-0.734541367466331,0,0.990194799986498
"PRIM_CONTRIBUTORY_CAUSEDISTRACTION - FROM INSIDE VEHICLE",-0.383107859794204,0,0.944750931738389
"PRIM_CONTRIBUTORY_CAUSEDISTRACTION - FROM OUTSIDE VEHICLE",-0.19321879333547,0,0.906284368791356
"PRIM_CONTRIBUTORY_CAUSEDISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)",-0.0314899515056268,-0.0314193650759256,NA
"PRIM_CONTRIBUTORY_CAUSEDRIVING ON WRONG SIDE/WRONG WAY",-0.347834914363878,0,0.939706377990101
"PRIM_CONTRIBUTORY_CAUSEDRIVING SKILLS/KNOWLEDGE/EXPERIENCE",0.121481767690134,0,0.987465796589527
"PRIM_CONTRIBUTORY_CAUSEEQUIPMENT - VEHICLE CONDITION",-0.7472134166213,0,0.937196585571367
"PRIM_CONTRIBUTORY_CAUSEEVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST",-0.171814891650457,0,0.809959923042362
"PRIM_CONTRIBUTORY_CAUSEEXCEEDING AUTHORIZED SPEED LIMIT",-0.539181312466872,0,0.935874782635382
"PRIM_CONTRIBUTORY_CAUSEEXCEEDING SAFE SPEED FOR CONDITIONS",-0.158609740630262,0,0.938774919616192
"PRIM_CONTRIBUTORY_CAUSEFAILING TO REDUCE SPEED TO AVOID CRASH",-0.335664049922526,0,0.989549737896087
"PRIM_CONTRIBUTORY_CAUSEFAILING TO YIELD RIGHT-OF-WAY",-0.259449480739879,0,0.995420897067374
"PRIM_CONTRIBUTORY_CAUSEFOLLOWING TOO CLOSELY",0.00655744878491209,0,0.990254121482121
"PRIM_CONTRIBUTORY_CAUSEHAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE)",-0.0712950866355954,0,0.825608865413673
"PRIM_CONTRIBUTORY_CAUSEIMPROPER BACKING",0.937946284896543,0,0.987638463028118
"PRIM_CONTRIBUTORY_CAUSEIMPROPER LANE USAGE",0.013396863167392,0,0.988078055408004
"PRIM_CONTRIBUTORY_CAUSEIMPROPER OVERTAKING/PASSING",0.150021902966862,0,0.990634300813462
"PRIM_CONTRIBUTORY_CAUSEIMPROPER TURNING/NO SIGNAL",0.000647454925565574,0,0.984819697412347
"PRIM_CONTRIBUTORY_CAUSENOT APPLICABLE",0.0871634238458232,0,0.990865144348351
"PRIM_CONTRIBUTORY_CAUSEOPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",-0.258699636235803,0,0.969397454191205
"PRIM_CONTRIBUTORY_CAUSEPHYSICAL CONDITION OF DRIVER",-0.993523384724546,0,0.935707975636752
"PRIM_CONTRIBUTORY_CAUSERELATED TO BUS STOP",0.112939264383206,0.112995695784951,NA
"PRIM_CONTRIBUTORY_CAUSETEXTING",-0.0202417762265616,-0.0200730837797127,NA
"PRIM_CONTRIBUTORY_CAUSEUNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED)",-1.10744666903925,0,0.928505221949197
"SEC_CONTRIBUTORY_CAUSEDISREGARDING TRAFFIC SIGNALS",-0.0794580796691804,0,0.966178113783718
"SEC_CONTRIBUTORY_CAUSEDISTRACTION - FROM INSIDE VEHICLE",-0.0207989761159613,0,0.926542989286941
"SEC_CONTRIBUTORY_CAUSEDRIVING ON WRONG SIDE/WRONG WAY",-0.0653722716805617,0,0.90910627546515
