"variable","seg100"
"intercept",3.47319038739731
"(Intercept)",0
"CRASH_DATE_EST_IY",-0.0929857656984064
"POSTED_SPEED_LIMIT",-0.0271370037224651
"TRAFFIC_CONTROL_DEVICEDELINEATORS",-0.672851550495739
"TRAFFIC_CONTROL_DEVICEFLASHING CONTROL SIGNAL",0
"TRAFFIC_CONTROL_DEVICELANE USE MARKING",-0.320297298961608
"TRAFFIC_CONTROL_DEVICENO CONTROLS",-0.0266069208410257
"TRAFFIC_CONTROL_DEVICENO PASSING",0
"TRAFFIC_CONTROL_DEVICEOTHER",0
"TRAFFIC_CONTROL_DEVICEOTHER RAILROAD CROSSING",0
"TRAFFIC_CONTROL_DEVICEOTHER REG. SIGN",0.00962498985258898
"TRAFFIC_CONTROL_DEVICEOTHER WARNING SIGN",0
"TRAFFIC_CONTROL_DEVICEPEDESTRIAN CROSSING SIGN",0
"TRAFFIC_CONTROL_DEVICEPOLICE/FLAGMAN",0
"TRAFFIC_CONTROL_DEVICERAILROAD CROSSING GATE",0
"TRAFFIC_CONTROL_DEVICERR CROSSING SIGN",0
"TRAFFIC_CONTROL_DEVICESCHOOL ZONE",0
"TRAFFIC_CONTROL_DEVICESTOP SIGN/FLASHER",0
"TRAFFIC_CONTROL_DEVICETRAFFIC SIGNAL",0.16593196334369
"TRAFFIC_CONTROL_DEVICEUNKNOWN",0.136253719460873
"TRAFFIC_CONTROL_DEVICEYIELD",0
"DEVICE_CONDITIONFUNCTIONING PROPERLY",0
"DEVICE_CONDITIONMISSING",-0.219551441455354
"DEVICE_CONDITIONNO CONTROLS",0
"DEVICE_CONDITIONNOT FUNCTIONING",-0.0158824399511608
"DEVICE_CONDITIONOTHER",-0.0330723180319257
"DEVICE_CONDITIONUNKNOWN",0.019108774362106
"DEVICE_CONDITIONWORN REFLECTIVE MATERIAL",0
"WEATHER_CONDITIONBLOWING SNOW",0
"WEATHER_CONDITIONCLEAR",0
"WEATHER_CONDITIONCLOUDY/OVERCAST",-0.0576597626794792
"WEATHER_CONDITIONFOG/SMOKE/HAZE",0
"WEATHER_CONDITIONFREEZING RAIN/DRIZZLE",-0.0348042050499992
"WEATHER_CONDITIONOTHER",-0.231089683208454
"WEATHER_CONDITIONRAIN",0
"WEATHER_CONDITIONSEVERE CROSS WIND GATE",0
"WEATHER_CONDITIONSLEET/HAIL",-0.0835965895512377
"WEATHER_CONDITIONSNOW",0
"WEATHER_CONDITIONUNKNOWN",0
"LIGHTING_CONDITIONDARKNESS, LIGHTED ROAD",-0.241639655553036
"LIGHTING_CONDITIONDAWN",-0.00481211706159531
"LIGHTING_CONDITIONDAYLIGHT",0.137975084789432
"LIGHTING_CONDITIONDUSK",0
"LIGHTING_CONDITIONUNKNOWN",0.109863841630972
"FIRST_CRASH_TYPEANIMAL",0.0753744290307493
"FIRST_CRASH_TYPEFIXED OBJECT",-1.87174231070117
"FIRST_CRASH_TYPEHEAD ON",-0.624749601805414
"FIRST_CRASH_TYPEOTHER NONCOLLISION",-1.41278931251698
"FIRST_CRASH_TYPEOTHER OBJECT",-1.23018063058557
"FIRST_CRASH_TYPEOVERTURNED",-3.41049176674524
"FIRST_CRASH_TYPEPARKED MOTOR VEHICLE",0.573369872547308
"FIRST_CRASH_TYPEPEDALCYCLIST",-1.7534568536678
"FIRST_CRASH_TYPEPEDESTRIAN",-2.95730447888777
"FIRST_CRASH_TYPEREAR END",0.691456153513421
"FIRST_CRASH_TYPEREAR TO FRONT",0.901704167443365
"FIRST_CRASH_TYPEREAR TO REAR",1.04660223620108
"FIRST_CRASH_TYPEREAR TO SIDE",0.497938774071788
"FIRST_CRASH_TYPESIDESWIPE OPPOSITE DIRECTION",0.398771857645513
"FIRST_CRASH_TYPESIDESWIPE SAME DIRECTION",1.15101016266543
"FIRST_CRASH_TYPETRAIN",-1.68135789275154
"FIRST_CRASH_TYPETURNING",0.221005069515992
"TRAFFICWAY_TYPECENTER TURN LANE",-0.470220249890545
"TRAFFICWAY_TYPEDIVIDED - W/MEDIAN (NOT RAISED)",-0.308972264646263
"TRAFFICWAY_TYPEDIVIDED - W/MEDIAN BARRIER",-0.60907221116902
"TRAFFICWAY_TYPEDRIVEWAY",0.548285235574632
"TRAFFICWAY_TYPEFIVE POINT, OR MORE",-0.27969689693419
"TRAFFICWAY_TYPEFOUR WAY",-0.373578832981686
"TRAFFICWAY_TYPEL-INTERSECTION",-0.231776625942614
"TRAFFICWAY_TYPENOT DIVIDED",-0.171064787797787
"TRAFFICWAY_TYPENOT REPORTED",-0.282523060160686
"TRAFFICWAY_TYPEONE-WAY",0
"TRAFFICWAY_TYPEOTHER",0.0128287466917339
"TRAFFICWAY_TYPEPARKING LOT",0.826607619823216
"TRAFFICWAY_TYPERAMP",-0.0297081011976351
"TRAFFICWAY_TYPEROUNDABOUT",0
"TRAFFICWAY_TYPET-INTERSECTION",-0.303681120540814
"TRAFFICWAY_TYPETRAFFIC ROUTE",-0.284443112270687
"TRAFFICWAY_TYPEUNKNOWN",0.221637483238399
"TRAFFICWAY_TYPEUNKNOWN INTERSECTION TYPE",-0.349758397331758
"TRAFFICWAY_TYPEY-INTERSECTION",-0.196175038644709
"LANE_CNTNARROW",0
"LANE_CNTNOT_APPLICABLE",0.020164685313241
"LANE_CNTWIDE",-0.0882362217699428
"ALIGNMENTCURVE ON HILLCREST",-0.0878686594456853
"ALIGNMENTCURVE, LEVEL",-0.168617669810856
"ALIGNMENTSTRAIGHT AND LEVEL",0.324113319527918
"ALIGNMENTSTRAIGHT ON GRADE",0
"ALIGNMENTSTRAIGHT ON HILLCREST",-0.0332584771965089
"ROADWAY_SURFACE_CONDICE",0
"ROADWAY_SURFACE_CONDOTHER",-0.0249693600003415
"ROADWAY_SURFACE_CONDSAND, MUD, DIRT",0
"ROADWAY_SURFACE_CONDSNOW OR SLUSH",0.147666441130482
"ROADWAY_SURFACE_CONDUNKNOWN",0.279820640176944
"ROADWAY_SURFACE_CONDWET",-0.115582027503644
"ROAD_DEFECTNO DEFECTS",0
"ROAD_DEFECTOTHER",-0.00453437375171187
"ROAD_DEFECTRUT, HOLES",0
"ROAD_DEFECTSHOULDER DEFECT",0
"ROAD_DEFECTUNKNOWN",0.0997681766352792
"ROAD_DEFECTWORN SURFACE",-0.2076805629809
"INTERSECTION_RELATED_IY",-0.538313361693596
"NOT_RIGHT_OF_WAY_IY",-0.00758438333132827
"HIT_AND_RUN_IY",0.302535007338863
