CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,Report_vs_Police_Notified,Crash_Year,Police_district
6b8dbd1a50cbac7a7d865b4fb09d7cedc83477662e19e4604e794d3df6c9ba9c7539ede48f2012706d867454dfcdc3436e2bf88e435e123e1ce240d1ab960ede,Y,2018-02-15 19:00:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DARKNESS,ANGLE,NOT DIVIDED,NOT_APPLICABLE,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,N,"OVER $1,500",2018-02-16 12:00:00,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,4500,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,19,5,2,41.963503291,-87.669452799,17.0,2018,District 19
6bb993482f814fbcfff7b33d17a6d8be712c90f66dda6399a9b30c4fb34da6a1dcf9723bddf50d12f5a8d0c830dc31ecca37b84bb70ae9d785f8e0a390d4979b,N,2022-09-02 16:46:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,FOUR WAY,NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,N,N,"$501 - $1,500",2022-09-02 18:30:00,UNABLE TO DETERMINE,NOT APPLICABLE,4400,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,16,6,9,41.96167909,-87.669409129,1.7333333333333334,2022,District 19
6c6e5195bbe75e42e1abcb120dcb92d3390394d1b5c2de03666891a1605d2c1c06599903b60583ad70989f55b6e2279fb9ca52ced05e3987387c7b6f6a789a1d,N,2022-11-19 13:45:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,SNOW,DAYLIGHT,ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),NOT_APPLICABLE,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,N,"$501 - $1,500",2022-11-19 14:12:00,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,4500,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,13,7,11,41.963503291,-87.669452799,0.45,2022,District 19
70dc508bb87e658da25baf5661f961a5d63a67b2525cfbec7dd56c56ffebc3cadc26a54cd21f1d7a0064044c16922fe6562b0aeaa5125ba9ab9a2bc1f0b92f8d,N,2020-02-17 20:00:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,DARKNESS,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),NOT_APPLICABLE,STRAIGHT AND LEVEL,WET,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,N,"OVER $1,500",2020-02-18 16:37:00,IMPROPER TURNING/NO SIGNAL,IMPROPER OVERTAKING/PASSING,4400,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,20,2,2,41.96167909,-87.669409129,20.616666666666667,2020,District 19
81b4df7e0f338127bdf1382d46bfff29681c388a1b60fe31f732afafc0e887f3dcecaaccea02029c1a2e3dbda687eaa6a5d560dc50dcb283e4e4f33d79f552c9,N,2017-12-01 16:30:00,35,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN BARRIER,NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,Y,"$501 - $1,500",2017-12-01 17:14:00,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,4500,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,16,6,12,41.963503291,-87.669452799,0.7333333333333333,2017,District 19
8468b371c5b546b332a35a4aad918be978adae5d4713d72f36caa1a196ebb7cd8bc4c166298a8888cab1414992dc4bbcad22c22990adc7e0b8b78f1fe33179e2,N,2021-10-14 21:10:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,N,N,"OVER $1,500",2021-10-14 21:12:00,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,4500,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,4,NONINCAPACITATING INJURY,2.0,0.0,0.0,1.0,1.0,1.0,21,5,10,41.963503291,-87.669452799,0.0333333333333333,2021,District 19
8c8e687089263432f4e714761c1d1a38037a7b357452ebde2eec6b1a75f38cbad6fab6941d575fc72c15300887dbf1361c47de3688506b5c7c6f244f2336d9d4,N,2024-06-25 07:15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,TURNING,FOUR WAY,NOT_APPLICABLE,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,N,N,"OVER $1,500",2024-06-25 07:25:00,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4559,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,7,3,6,41.965144913,-87.669197881,0.1666666666666666,2024,District 19
8ef435ffe387c1aeab2070082564767593ca5e53016b8e1da32764e403c8ce2b64ed0f5c21f5b310087343fa36ad598155ee36cf3fa19cb913db18331748b26b,N,2017-10-06 02:20:00,25,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",ANGLE,CENTER TURN LANE,NARROW,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,N,N,"OVER $1,500",2017-10-06 03:25:00,DISREGARDING STOP SIGN,NOT APPLICABLE,4500,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,2,6,10,41.963503291,-87.669452799,1.0833333333333333,2017,District 19
918e446522664ba827907dbd4ba157cc8d25aa3ca74ffc056f179446cef7ddbcdd905c0b1592060929d662f23789b943bf2c817c8adad5c2ebf4c85b195cc9f0,N,2023-05-20 13:15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,N,N,$500 OR LESS,2023-05-20 13:18:00,FAILING TO YIELD RIGHT-OF-WAY,UNABLE TO DETERMINE,4601,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,13,7,5,41.965326754,-87.669202734,0.05,2023,District 19
94b55f21c6d076a98f7606e62a080055482d495a9df9757ac52257f6e404d1888fa401b39fc13023fb987bae936dc3e0b8aba99345ff90e218338d072a5adb90,N,2017-09-24 10:00:00,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,DAYLIGHT,FIXED OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),WIDE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,N,N,"$501 - $1,500",2017-09-24 10:03:00,PHYSICAL CONDITION OF DRIVER,NOT APPLICABLE,4556,N,ASHLAND AVE,1912.0,N,N,UNKNOWN,N,1,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,0.0,10,1,9,41.965084327,-87.669490505,0.05,2017,District 19
