CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,Report_vs_Police_Notified,Crash_Year,Police_district
67e4f948391cbb419b118c5d7a5091579b2b7a5c3e271ddd72fc64056d76a37aa2d06e1b5b7adac70a25cede54f52599885720ee0a417158b18643d3d79d809d,N,2024-07-01 10:10:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,PEDESTRIAN,NOT DIVIDED,NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,N,N,"OVER $1,500",2024-07-01 10:14:00,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,425,N,STATE ST,1834.0,N,N,UNKNOWN,N,2,"REPORTED, NOT EVIDENT",2.0,0.0,0.0,0.0,2.0,0.0,10,2,7,41.890027918,-87.627860346,0.0666666666666666,2024,District 18
685337a5c78e71ba42ea2921f563c5f8f7127b7375efaaf72520b9640678bf3ba4ae489925b364e94b81b329c0f871c925d2a738b8b9aae2a9d397daf52c38bd,N,2019-06-13 17:40:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,DIVIDED - W/MEDIAN (NOT RAISED),NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,N,N,"OVER $1,500",2019-06-13 17:50:00,IMPROPER TURNING/NO SIGNAL,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,628,N,STATE ST,1832.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,17,5,6,41.893235481,-87.628265053,0.1666666666666666,2019,District 18
6896dea72a4560eedd7ec444667e51cdeb0835d1f4c2b087101e171592560038576b15585311583d92d4855c6b2deb16b2534961407098df972e0bd127d48551,N,2018-07-20 20:45:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,NARROW,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,Y,"OVER $1,500",2018-07-20 23:30:00,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,430,N,STATE ST,1831.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,20,6,7,41.89010221,-87.628157227,2.75,2018,District 18
69561bb5eacc3032f650133876e71de3dc4a9184774e30416d6ad420b30edd101786a6bd6d2c448db336de5925f6ecbdb637cd0d53182530ef230a7ecd89ea8e,N,2018-06-24 14:10:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,N,"OVER $1,500",2018-07-04 18:38:00,NOT APPLICABLE,NOT APPLICABLE,430,N,STATE ST,1831.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,14,1,6,41.89010221,-87.628157227,48.0,2018,District 18
6bc5b0c2cc8591ab5e9c3c81fb7470aaf17f2059b39c36ad60fdd43d953562d3eb5b757d5f58233ee1488373372f26eed6a5b9b6b919382bb9e70aae6eb4cbbb,N,2021-07-10 16:20:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DAYLIGHT,REAR END,NOT DIVIDED,NOT_APPLICABLE,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,N,"$501 - $1,500",2021-07-10 16:50:00,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,628,N,STATE ST,1832.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,16,7,7,41.893235481,-87.628265053,0.5,2021,District 18
6be2adfebd1ed1fca6b45ec04944400e56c2eef6ecf61876bdf508fa7837961babffd2a16c47c981cbad9d242c0abf8c54d047171b9ff9ea69a0206510822a2e,N,2024-03-09 14:00:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,TURNING,NOT DIVIDED,NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,N,$500 OR LESS,2024-03-09 15:45:00,DISREGARDING TRAFFIC SIGNALS,IMPROPER OVERTAKING/PASSING,400,N,STATE ST,1831.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,14,7,3,41.889318711,-87.628152668,1.75,2024,District 18
6cdeae205993b8f1d46b19d68f2ff63ceb812637a8a7d414e7384c1666485da55fc0ae18b881775a0180012e26d9f8e919e7f4fb5bba08c8302430709a8e19f6,N,2021-06-26 01:45:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,N,"OVER $1,500",2021-06-26 03:00:00,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,530,N,STATE ST,1831.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,1,7,6,41.891711252,-87.628216666,1.25,2021,District 18
6d752652933c8b6dd74dc6b9faba4c11077d0ef184820c5404310e3874a666f88bd8fe1f8c7cd21d7a42f44695cadce25db06872a4705fdc841d4d5942378231,N,2018-04-07 10:29:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,WIDE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,N,"$501 - $1,500",2018-04-07 20:49:00,NOT APPLICABLE,NOT APPLICABLE,625,N,STATE ST,1834.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,10,7,4,41.893227604,-87.627971425,10.333333333333334,2018,District 18
6e10677ebc04c3122f639a39848de85595c0057f736c5de8c3e1e447709b6ce1c49e0ddde3d183bde4eed96b4e75564dcf80891b6388bebd38164784f6063421,N,2022-07-15 11:15:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,NOT_APPLICABLE,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,N,N,$500 OR LESS,2022-07-18 15:30:00,IMPROPER OVERTAKING/PASSING,UNABLE TO DETERMINE,448,N,STATE ST,1831.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,11,6,7,41.890750946,-87.628181267,48.0,2022,District 18
6e9198a04338cc4749849374724ea174bf2b2ae3f24ddb7c50d5b9f2676a5926af03546b4dc1c88dae95276dbad6b36db7746884c64fa86594b332aa74b34452,N,2019-03-24 23:42:00,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,NARROW,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,N,Y,"$501 - $1,500",2019-03-24 23:50:00,FOLLOWING TOO CLOSELY,FOLLOWING TOO CLOSELY,628,N,STATE ST,1832.0,N,N,UNKNOWN,N,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,23,1,3,41.893235481,-87.628265053,0.1333333333333333,2019,District 18
