,FATAL,INCAPACITATING INJURY,NO INDICATION OF INJURY,NONINCAPACITATING INJURY,"REPORTED, NOT EVIDENT"
Intercept,-0.07870280573915919,-0.07855764279827097,0.39576850718587947,-0.03344088943963162,-0.018113974109635392
POSTED_SPEED_LIMIT[T.1],.,.,.,.,.
POSTED_SPEED_LIMIT[T.2],.,.,.,.,.
POSTED_SPEED_LIMIT[T.3],.,.,0.00011891805658728246,0.00014914107135353987,-0.00011791434909841887
POSTED_SPEED_LIMIT[T.4],.,.,.,.,.
POSTED_SPEED_LIMIT[T.5],-0.0001435110051417891,-0.0013801743527829123,0.0017333646464289777,-0.00039002544135671437,0.00034030224389076317
POSTED_SPEED_LIMIT[T.6],.,.,.,.,.
POSTED_SPEED_LIMIT[T.7],.,.,.,.,.
POSTED_SPEED_LIMIT[T.8],.,.,.,.,.
POSTED_SPEED_LIMIT[T.9],.,.,.,.,.
POSTED_SPEED_LIMIT[T.10],-0.0010913320567242446,-0.004352286139619484,0.00877208886347341,-0.003217072706566537,0.0012250357504041713
POSTED_SPEED_LIMIT[T.11],.,.,.,.,.
POSTED_SPEED_LIMIT[T.12],.,.,.,.,.
POSTED_SPEED_LIMIT[T.14],.,.,.,.,.
POSTED_SPEED_LIMIT[T.15],-0.0016681922534429335,-0.008988325881632814,0.020264260779921255,-0.004341017846816574,-0.0004523390500035561
POSTED_SPEED_LIMIT[T.16],.,.,.,.,.
POSTED_SPEED_LIMIT[T.18],.,.,.,.,.
POSTED_SPEED_LIMIT[T.20],-0.0038348257059381,-0.011116799945466159,0.022245204345441704,-0.0005457672893094605,-0.0017057894912197189
POSTED_SPEED_LIMIT[T.22],.,.,.,.,.
POSTED_SPEED_LIMIT[T.23],.,.,.,.,.
POSTED_SPEED_LIMIT[T.24],.,.,.,.,.
POSTED_SPEED_LIMIT[T.25],-0.001129977734093894,-0.009415617473338175,0.0297118984691983,-0.003067036442751676,-0.009483717948638943
POSTED_SPEED_LIMIT[T.26],.,.,.,.,.
POSTED_SPEED_LIMIT[T.29],.,.,.,.,.
POSTED_SPEED_LIMIT[T.30],-0.05141422200452143,-0.04516748140705068,0.07664638585979726,0.004493561571192296,0.01876977202563526
POSTED_SPEED_LIMIT[T.31],.,.,.,.,.
