,0
Intercept,0.0
CRASH_DATE_EST_I[T.Y],0.009222587045126183
TRAFFIC_CONTROL_DEVICE[T.DELINEATORS],-0.011788855908444583
TRAFFIC_CONTROL_DEVICE[T.FLASHING CONTROL SIGNAL],-4.24615142998197e-05
TRAFFIC_CONTROL_DEVICE[T.LANE USE MARKING],-0.007828387515944097
TRAFFIC_CONTROL_DEVICE[T.NO CONTROLS],-0.04257414237981705
TRAFFIC_CONTROL_DEVICE[T.NO PASSING],0.0002936105213577643
TRAFFIC_CONTROL_DEVICE[T.OTHER],0.0028758687511996105
TRAFFIC_CONTROL_DEVICE[T.OTHER RAILROAD CROSSING],0.00344853784197544
TRAFFIC_CONTROL_DEVICE[T.OTHER REG. SIGN],0.004560740133454527
TRAFFIC_CONTROL_DEVICE[T.OTHER WARNING SIGN],0.0018952311085818061
TRAFFIC_CONTROL_DEVICE[T.PEDESTRIAN CROSSING SIGN],-0.0032409603625459613
TRAFFIC_CONTROL_DEVICE[T.POLICE/FLAGMAN],0.0015807698472993684
TRAFFIC_CONTROL_DEVICE[T.RAILROAD CROSSING GATE],0.003214308999199211
TRAFFIC_CONTROL_DEVICE[T.RR CROSSING SIGN],-0.0006556652352689574
TRAFFIC_CONTROL_DEVICE[T.SCHOOL ZONE],-0.005161280858176557
TRAFFIC_CONTROL_DEVICE[T.STOP SIGN/FLASHER],0.0015129717649809066
TRAFFIC_CONTROL_DEVICE[T.TRAFFIC SIGNAL],0.03315610135076371
TRAFFIC_CONTROL_DEVICE[T.UNKNOWN],0.003611408239012595
TRAFFIC_CONTROL_DEVICE[T.YIELD],-0.0008098020823895895
DEVICE_CONDITION[T.FUNCTIONING PROPERLY],0.010135645396841999
DEVICE_CONDITION[T.MISSING],-0.004317050175797815
DEVICE_CONDITION[T.NO CONTROLS],0.025321432428382376
DEVICE_CONDITION[T.NOT FUNCTIONING],-0.004028990412565551
DEVICE_CONDITION[T.OTHER],-0.0018364729709276705
DEVICE_CONDITION[T.UNKNOWN],0.01104570547940208
DEVICE_CONDITION[T.WORN REFLECTIVE MATERIAL],0.00244675788572369
WEATHER_CONDITION[T.BLOWING SNOW],0.0014051770586833972
WEATHER_CONDITION[T.CLEAR],-0.0014615844455026811
WEATHER_CONDITION[T.CLOUDY/OVERCAST],-0.007406042566943002
WEATHER_CONDITION[T.FOG/SMOKE/HAZE],0.0008979950953602108
WEATHER_CONDITION[T.FREEZING RAIN/DRIZZLE],-0.0028277141719458333
WEATHER_CONDITION[T.OTHER],-0.012733362713512407
WEATHER_CONDITION[T.RAIN],0.008226081593263716
WEATHER_CONDITION[T.SEVERE CROSS WIND GATE],0.003370903990803013
WEATHER_CONDITION[T.SLEET/HAIL],-0.0036904056648522938
WEATHER_CONDITION[T.SNOW],0.002258389818891302
WEATHER_CONDITION[T.UNKNOWN],-0.0013505147990986036
"LIGHTING_CONDITION[T.DARKNESS, LIGHTED ROAD]",-0.055008446138122606
LIGHTING_CONDITION[T.DAWN],-0.003221004225854556
LIGHTING_CONDITION[T.DAYLIGHT],0.010662026679253358
LIGHTING_CONDITION[T.DUSK],-0.006814200007222936
LIGHTING_CONDITION[T.UNKNOWN],0.033099854503651556
